gene	graph	module	degree	betweenness
SCIN	earlyOnset	1	8	9.16909830693299
SYK	earlyOnset	1	3	0
CTSC	earlyOnset	1	5	1.35300207039337
MYO1F	earlyOnset	1	18	291.149298044439
HCK	earlyOnset	1	20	201.245361892841
STEAP3	earlyOnset	1	4	1.62297585209836
CNPY3	earlyOnset	1	3	0.833333333333333
LAIR1	earlyOnset	1	35	281.307616503675
TMEM119	earlyOnset	1	16	145.097632729828
LCP1	earlyOnset	1	21	52.1634392425496
NCKAP1L	earlyOnset	1	7	1.77126775522208
DENND1C	earlyOnset	1	1	0
ITGB2	earlyOnset	1	9	6.13387281518997
LILRB4	earlyOnset	1	5	0.872813705901941
HLA-DMB	earlyOnset	1	10	16.5926942978098
PARVG	earlyOnset	1	22	67.2780800706039
C1QA	earlyOnset	1	34	149.294902038143
FERMT3	earlyOnset	1	5	0.942817059800016
C3AR1	earlyOnset	1	14	27.5068179707079
CXCL16	earlyOnset	1	18	67.7485694564063
SERPINA3	earlyOnset	1	9	137.88301576906
RNASE6	earlyOnset	1	9	12.6302764994985
SLC7A7	earlyOnset	1	1	0
ARHGDIB	earlyOnset	1	14	24.3710709003562
ALOX5AP	earlyOnset	1	27	84.5338311313279
ABI3	earlyOnset	1	7	4.63154958871428
LINC01736	earlyOnset	1	1	0
TNFAIP8L2	earlyOnset	1	9	9.28885220778349
LAPTM5	earlyOnset	1	56	1024.64655993996
SIGLEC8	earlyOnset	1	2	0
VAMP8	earlyOnset	1	48	633.137015059376
TMIGD3	earlyOnset	1	16	48.7454252418173
FPR1	earlyOnset	1	7	0.778865578865579
HCLS1	earlyOnset	1	24	92.4721115287586
SELPLG	earlyOnset	1	8	84.0010688903609
FCER1G	earlyOnset	1	41	348.468827415347
ALOX5	earlyOnset	1	2	0
HMOX1	earlyOnset	1	24	133.972492482306
AIF1	earlyOnset	1	19	40.3083775913061
DEF6	earlyOnset	1	2	0
LYL1	earlyOnset	1	7	16.0105254338116
SPP1	earlyOnset	1	3	0
TGFBI	earlyOnset	1	1	0
C1QB	earlyOnset	1	39	250.201895312473
HLA-DPB1	earlyOnset	1	2	0
APBB1IP	earlyOnset	1	8	11.1267725924951
SLA	earlyOnset	1	5	0.215817011152081
FOS	earlyOnset	1	3	1.90600414078675
SLC2A5	earlyOnset	1	26	90.9324990213242
RHBDF2	earlyOnset	1	26	223.22009562174
ADAM28	earlyOnset	1	8	62.4082810776222
C5AR1	earlyOnset	1	4	0
PTAFR	earlyOnset	1	5	0
CLEC7A	earlyOnset	1	1	0
MS4A6A	earlyOnset	1	6	3.75243954302778
TYROBP	earlyOnset	1	46	583.695217627498
REEP4	earlyOnset	1	2	0
RGS10	earlyOnset	1	8	157.448216200307
SASH3	earlyOnset	1	12	15.5254040869509
IFI30	earlyOnset	1	26	71.0724769310001
SERPINA1	earlyOnset	1	29	159.388470580993
NCF1	earlyOnset	1	6	5.43420900669392
CD44	earlyOnset	1	1	0
IL18	earlyOnset	1	7	145.542887718221
TREM2	earlyOnset	1	19	66.3460329894589
CYTH4	earlyOnset	1	5	2.51710164835165
PYCARD	earlyOnset	1	23	126.079254980506
CD68	earlyOnset	1	28	234.809437478753
BCL3	lateOnset	1	14	290.129311156364
MT1A	lateOnset	1	16	33.690720041203
MLKL	lateOnset	1	15	5.34097216593089
KCNE4	lateOnset	1	3	0
PLP2	lateOnset	1	9	9.05305766673201
S100A12	lateOnset	1	1	0
SBNO2	lateOnset	1	23	436.421233517702
CFB	lateOnset	1	1	0
FOSL2	lateOnset	1	9	46.2330773271891
EHD4	lateOnset	1	1	0
TUBA1C	lateOnset	1	58	779.115201056993
IFITM1	lateOnset	1	43	744.720379948364
PLSCR1	lateOnset	1	38	1087.08000700521
MT1L	lateOnset	1	32	150.737367012288
F11R	lateOnset	1	14	12.6846563586787
IFITM2	lateOnset	1	55	1065.06933531073
PHC2	lateOnset	1	2	0
PML	lateOnset	1	16	312.60268155442
TEAD4	lateOnset	1	17	54.4345476951162
DTX3L	lateOnset	1	13	5.55922805745333
EMP1	lateOnset	1	23	211.064789429182
ANGPT2	lateOnset	1	4	0.467154390848371
IL4R	lateOnset	1	42	366.210018376364
FES	lateOnset	1	9	4.85976417975305
CDK2	lateOnset	1	16	51.6261530804668
SLCO4A1	lateOnset	1	31	204.257596737422
SERTAD1	lateOnset	1	11	101.205227914171
SCARA3	lateOnset	1	5	0.856023168800253
C11orf96	lateOnset	1	2	0
CD40	lateOnset	1	1	0
TLE3	lateOnset	1	1	0
RAB20	lateOnset	1	20	88.8120707350249
PLAUR	lateOnset	1	10	5.46962499787132
TNFRSF1B	lateOnset	1	30	482.960286775778
ACSL5	lateOnset	1	41	640.155540010728
MIDN	lateOnset	1	15	350.274655849521
TNFRSF10B	lateOnset	1	20	122.106825351833
ARID5A	lateOnset	1	26	285.040418011452
NFKB2	lateOnset	1	33	246.882858828538
SERPINH1	lateOnset	1	27	685.141584776086
ADAMTS9	lateOnset	1	18	21.9288027865958
S100A9	lateOnset	1	14	107.596984949673
TUBB6	lateOnset	1	37	560.325719409233
TGM2	lateOnset	1	29	100.993890545238
MAFF	lateOnset	1	32	476.846095425167
COL4A1	lateOnset	1	1	0
TNFRSF12A	lateOnset	1	8	2.11843291673294
CHSY1	lateOnset	1	10	26.7916418080836
LIMS1	lateOnset	1	3	0
EMP3	lateOnset	1	10	14.4405880761213
NOS3	lateOnset	1	7	11.0261702053775
CD93	lateOnset	1	5	3.28019798044804
ANXA2	lateOnset	1	27	73.7525434930602
HILPDA	lateOnset	1	14	163.944696062726
H2AJ	lateOnset	1	1	0
CFI	lateOnset	1	5	0
ISG20	lateOnset	1	2	0
FAM189A2	lateOnset	1	9	13.5781178454272
EFNA1	lateOnset	1	40	356.163312521301
CDKN1A	lateOnset	1	58	882.903772997905
TIMP1	lateOnset	1	29	239.920226400147
TMBIM1	lateOnset	1	47	1188.45351569624
MYD88	lateOnset	1	20	86.654186613818
JUNB	lateOnset	1	1	0
GBP2	lateOnset	1	5	24.9913002741443
LY96	lateOnset	1	5	1.6342189481993
SQOR	lateOnset	1	25	584.783170598285
SEMA3F	lateOnset	1	29	250.249364565141
C1R	lateOnset	1	33	767.950884621439
ADM	lateOnset	1	2	0
GADD45B	lateOnset	1	20	68.8101909933467
PYGL	lateOnset	1	8	14.1223311631376
TAP1	lateOnset	1	43	531.542864954589
SOCS3	lateOnset	1	54	902.583727951681
S100A10	lateOnset	1	5	0
TFPI	lateOnset	1	1	0
MT1X	lateOnset	1	6	0.207832167832168
SOD2	lateOnset	1	1	0
MAP2K3	lateOnset	1	2	0
ITPRIP	lateOnset	1	9	21.9799396378358
TEAD3	lateOnset	1	2	0
ZIC1	lateOnset	1	4	0
TNFRSF6B	lateOnset	1	11	17.9932613825715
CSRNP1	lateOnset	1	7	3.10159384008478
CASP4	lateOnset	1	50	1085.04370895913
LRRC32	lateOnset	1	21	23.9426302566398
TRIM47	lateOnset	1	20	72.7477648770552
PNP	lateOnset	1	42	431.275963702138
NLRC5	lateOnset	1	4	7.41281720285977
DHX57	lateOnset	1	1	0
CLEC2B	lateOnset	1	6	0.183333333333333
NEAT1	lateOnset	1	2	0
PIM1	lateOnset	1	6	2.89127211920191
S100A8	lateOnset	1	22	399.357283135328
DEPP1	lateOnset	1	37	224.162197900467
CLIC1	lateOnset	1	76	3330.57092601201
VWA5A	lateOnset	1	5	4.00294208638252
RNF144B	lateOnset	1	1	0
TNFRSF1A	lateOnset	1	69	2255.52181961924
PCAT19	lateOnset	1	2	0
IRF1	lateOnset	1	7	2.78481928775256
NFKBIA	lateOnset	1	15	21.0727783827897
OSMR	lateOnset	1	46	578.517944161348
PLA1A	lateOnset	1	12	19.3588109814086
MVP	lateOnset	1	50	2244.07870040933
LGALS3	lateOnset	1	21	150.545610439644
YBX3	lateOnset	1	81	1823.67873178949
TMEM176B	lateOnset	1	11	9.1098791419543
SLC44A3	lateOnset	1	2	0
S1PR3	lateOnset	1	12	271.586680769947
STAT5A	lateOnset	1	4	0
APOL6	lateOnset	1	3	0
ITGA5	lateOnset	1	18	51.0068602327456
CEBPB	lateOnset	1	16	317.92191126895
HMOX1	lateOnset	1	10	69.1738626233646
BCL6	lateOnset	1	25	38.9973543755719
C1S	lateOnset	1	4	1.49718700103315
PLEKHG2	lateOnset	1	5	0
BACE2	lateOnset	1	4	0.284280936454849
GPR4	lateOnset	1	42	505.852589931302
ITPKC	lateOnset	1	15	25.3337950812375
RHOB	lateOnset	1	2	0.204324442327538
ZFP36	lateOnset	1	39	696.834796726662
SLC16A3	lateOnset	1	10	157.033396245044
DLL4	lateOnset	1	10	1.92815693232083
NAMPT	lateOnset	1	9	275.147439155304
FOS	lateOnset	1	1	0
ITPRIPL2	lateOnset	1	8	0.841143578643579
ADAMTS1	lateOnset	1	14	54.6947219365799
PLIN2	lateOnset	1	26	75.1298905938832
C1QTNF1	lateOnset	1	2	0
TNFRSF10D	lateOnset	1	18	140.700146072612
IER3	lateOnset	1	1	0
SHC1	lateOnset	1	12	6.88883633826563
PDLIM1	lateOnset	1	10	34.3793177127813
RALGDS	lateOnset	1	20	41.0582491085613
IRF9	lateOnset	1	6	2.47435283292485
STAT3	lateOnset	1	70	1385.49652938084
IFITM3	lateOnset	1	49	470.986028572224
IL1R1	lateOnset	1	22	48.1624536821393
BAG3	lateOnset	1	18	43.1313943097935
CEBPD	lateOnset	1	25	179.478536443471
SERPINB1	lateOnset	1	11	3.55277140977333
LMOD1	lateOnset	1	3	0
TAGLN2	lateOnset	1	74	1899.03445954451
IL6R	lateOnset	1	9	2.25758115465836
CP	lateOnset	1	22	29.0620730480963
TM4SF1	lateOnset	1	30	295.168299667182
SERPING1	lateOnset	1	9	27.4502130726345
APOL1	lateOnset	1	5	6.78485161313993
IL15RA	lateOnset	1	6	0.317542829510915
APOLD1	lateOnset	2	7	103.842031307251
SIK1	lateOnset	2	3	6.54746429048775
NEDD9	lateOnset	2	2	0
BTG2	lateOnset	2	6	190.299337988885
WAS	lateOnset	3	9	18.0668175751007
ARHGAP30	lateOnset	3	4	1.54645403494436
RNASET2	lateOnset	3	9	6.33024178448501
LY86	lateOnset	3	15	1.56687740685378
CSF1R	lateOnset	3	19	594.346567374343
C1QC	lateOnset	3	52	607.13664290148
CASP1	lateOnset	3	5	10.5757954029423
SIGLEC10	lateOnset	3	1	0
HLA-DRA	lateOnset	3	26	317.418733979924
FYB1	lateOnset	3	13	11.3561222006619
EBI3	lateOnset	3	5	0.549839771405
C3	lateOnset	3	39	184.499197337881
SH3TC1	lateOnset	3	6	5.16246444925978
LILRB1	lateOnset	3	1	0
FGD2	lateOnset	3	5	2.01796190828474
CSF3R	lateOnset	3	1	0
HAMP	lateOnset	3	11	139.220287484182
CD74	lateOnset	3	32	733.258808804837
STAB1	lateOnset	3	36	1116.70630154872
C1orf162	lateOnset	3	4	1.98898688440487
RNASE2	lateOnset	3	19	6.65772521441269
FCGR3A	lateOnset	3	45	976.446707031044
SPI1	lateOnset	3	40	1544.36802569197
ITGAM	lateOnset	3	1	0
HCST	lateOnset	3	13	3.25839370516502
APOC1	lateOnset	3	1	0
CYBA	lateOnset	3	29	944.030151679578
TBXAS1	lateOnset	3	6	0.962790477951892
PCED1B-AS1	lateOnset	3	12	1.23932459819037
RGS19	lateOnset	3	3	0
NCF4	lateOnset	3	33	521.98245194553
ARHGAP45	lateOnset	3	5	1.42724902222853
SLC1A5	lateOnset	3	16	137.946188993299
HLA-DPA1	lateOnset	3	2	0
FCGR2A	lateOnset	3	30	41.4590053778696
CD37	lateOnset	3	7	3.32782361787886
MS4A4A	lateOnset	3	5	0
LGALS9	lateOnset	3	19	117.764222210952
FCGR1A	lateOnset	3	22	127.748322057141
PTPN6	lateOnset	3	8	0.35465178096757
VSIG4	lateOnset	3	46	615.55377705387
CD163	lateOnset	3	26	441.656366386109
CYBB	lateOnset	3	7	0.824239696122121
LAT2	lateOnset	3	41	1437.25250456431
CD14	lateOnset	3	44	755.833196297926
LST1	lateOnset	3	26	326.326370766123
CD300A	lateOnset	3	20	55.0791256311838
SCIN	lateOnset	3	21	11.2749533353393
CTSC	lateOnset	3	19	105.725510994105
UCP2	lateOnset	3	2	0
MYO1F	lateOnset	3	16	75.9318108208801
HCK	lateOnset	3	16	2.74778747903954
LAIR1	lateOnset	3	40	602.915846083333
LCP1	lateOnset	3	34	114.878241744901
ITGB2	lateOnset	3	26	82.8147328884998
PARVG	lateOnset	3	30	55.0482332081308
C1QA	lateOnset	3	52	422.921998178225
FERMT3	lateOnset	3	2	0
C3AR1	lateOnset	3	11	8.82406416722476
CXCL16	lateOnset	3	5	1.54506524347002
ARHGDIB	lateOnset	3	27	61.695267996212
ALOX5AP	lateOnset	3	32	74.8934881497656
ABI3	lateOnset	3	19	67.950780932659
TNFAIP8L2	lateOnset	3	15	3.12713139088692
S100A11	lateOnset	3	71	5003.54307148193
LAPTM5	lateOnset	3	55	935.134023577897
VAMP8	lateOnset	3	31	704.581997728237
TMIGD3	lateOnset	3	32	228.807262388704
CD4	lateOnset	3	1	0
FPR1	lateOnset	3	13	13.0219640670869
HCLS1	lateOnset	3	32	364.728387248541
FCER1G	lateOnset	3	45	228.993637297588
ALOX5	lateOnset	3	1	0
AIF1	lateOnset	3	34	87.8940428918801
SPP1	lateOnset	3	5	0
GMFG	lateOnset	3	1	0
C1QB	lateOnset	3	58	724.815507976664
APBB1IP	lateOnset	3	11	3.05677731237044
SLA	lateOnset	3	7	0.522269570962638
SLC2A5	lateOnset	3	37	452.302024548077
RHBDF2	lateOnset	3	16	294.001693836964
PTAFR	lateOnset	3	2	3.55926568832528
MS4A6A	lateOnset	3	38	163.560653778109
SLC11A1	lateOnset	3	18	672.278157967804
TYROBP	lateOnset	3	44	647.05714130355
SASH3	lateOnset	3	9	0
FCGR1B	lateOnset	3	2	0
IFI30	lateOnset	3	46	1225.64982532258
SERPINA1	lateOnset	3	37	305.220727385291
TREM2	lateOnset	3	8	0.125
CYTH4	lateOnset	3	6	7.58453303071178
CD68	lateOnset	3	30	33.9706191616275
GADD45A	lateOnset	4	2	0
LOC105369147	lateOnset	4	3	0.5
LIMK2	lateOnset	4	22	758.995685557206
SERPINA3	lateOnset	4	6	20.8159844717315
CCL2	lateOnset	4	1	0
ICAM1	lateOnset	4	17	524.470683782474
CD44	lateOnset	4	4	0.166666666666667
ASAP3	lateOnset	5	4	4.63826881179822
TP53	lateOnset	5	2	0
HLA-DMA	lateOnset	6	2	0
HLA-DMB	lateOnset	6	7	31.2334718512361
RNASE6	lateOnset	6	3	1.15757575757576
RGS10	lateOnset	6	3	13.6520943929577
TYMP	lateOnset	7	11	228.307405639962
IGFLR1	lateOnset	7	5	21.2561242163392
CYBC1	lateOnset	7	4	12.9480950398995
FAM20C	lateOnset	7	4	1.87322748395165
VASN	lateOnset	7	5	10.2836103468026
C4A	lateOnset	8	5	10.9286862022531
TMPRSS3	lateOnset	8	2	0
PLAAT4	lateOnset	8	18	350.108870850669
GFAP	lateOnset	8	3	0
ANGPTL4	lateOnset	8	3	7.60582494244339
PLEKHA4	lateOnset	8	4	0.520314437308845
C4B	lateOnset	8	10	115.854457393236
